metric,m,readout,mean_abs_z_old,mean_abs_z_new,mean_z_old,mean_z_new,corr_AB_z_old,corr_AB_z_new,n_proteins
smb_rate_hat,6,A,1.366733929670962,0.882988707293314,-0.967146782979843,-0.5309717312766111,-0.14351750787281306,0.23933429542013637,8
smb_rate_hat,6,B,1.8952479388274377,1.6720410074954373,-1.8952479388274377,-0.3576663944386426,-0.14351750787281306,0.23933429542013637,8
smb_rate_hat,8,A,1.366733929670962,0.882988707293314,-0.967146782979843,-0.5309717312766111,-0.14351750787281306,0.23933429542013637,8
smb_rate_hat,8,B,1.8952479388274377,1.6720410074954373,-1.8952479388274377,-0.3576663944386426,-0.14351750787281306,0.23933429542013637,8
smb_rate_hat,10,A,1.366733929670962,0.882988707293314,-0.967146782979843,-0.5309717312766111,-0.14351750787281306,0.23933429542013637,8
smb_rate_hat,10,B,1.8952479388274377,1.6720410074954373,-1.8952479388274377,-0.3576663944386426,-0.14351750787281306,0.23933429542013637,8
type_entropy,6,A,1.8033394681764445,1.006223301498654,-1.1001558587081237,-0.2839353754219451,-0.4731196856944532,0.5985167285669931,8
type_entropy,6,B,0.8014752059710438,1.2654590910304204,-0.250392088142109,-0.10923387006532526,-0.4731196856944532,0.5985167285669931,8
type_entropy,8,A,1.8648278795644373,0.982895045822615,-1.1739083927993628,-0.3576467483483424,-0.20339285078750072,0.5393314288639498,8
type_entropy,8,B,0.8077422801714524,1.047472018057769,-0.5371839654417947,-0.6566754167682751,-0.20339285078750072,0.5393314288639498,8
type_entropy,10,A,1.7660000795739181,1.016188465893365,-1.1238828135871777,-0.462025862977766,-0.12447168646063479,0.564537855622705,8
type_entropy,10,B,0.9844833494528625,0.9263151173823059,-0.8462403187656204,-0.5972441809288941,-0.12447168646063479,0.564537855622705,8
